ID,ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,RiskScore
10011,2045-05-29,51,73998,600,Employed,High School,29,20486,72,Married,3,Rent,250,0.2262392025738144,2,0,0.2452118393207898,0,Auto,0,25,10,4865,276,678900,56832,6166.5,0.9829442709246689,2,622068,0.235486,0.2499165928184469,551.7301672497116,0.1300138112786364,32.800000000000004
10012,2045-05-30,50,59027,607,Employed,High School,31,44772,60,Divorced,0,Rent,334,0.2421333643733104,1,0,0.2897769562738658,0,Home,0,28,22,5086,8669,32550,13749,4918.916666666667,0.8635114726177706,1,18801,0.246272,0.1991481112547404,1184.0629493213216,0.3086173343021983,49.0
10013,2045-05-31,24,30657,567,Employed,High School,4,7106,48,Single,0,Rent,503,0.2124889008808702,5,0,0.4195507959903732,0,Home,0,26,13,9312,7111,56024,108838,1350.0833333333333,0.9293124607541728,3,7743,0.218606,0.2259118532570851,226.169083292305,0.5400919078765298,57.0
10014,2045-06-01,34,15000,609,Unemployed,Associate,12,17903,60,Married,2,Mortgage,791,0.1891247735059059,1,2,0.174807814349971,0,Debt Consolidation,0,30,29,2842,1470,61347,441411,1250.0,0.9100645675767732,5,8654,0.218403,0.2247064426733103,499.26398778602976,1.0322111902288238,51.0
10015,2045-06-02,49,26392,645,Employed,Associate,31,22709,96,Single,2,Mortgage,468,0.0918570465294658,3,0,0.44013132189853,0,Auto,0,28,27,5541,2982,318831,13742,2199.333333333333,0.7235253016695627,5,305089,0.235209,0.2543567300168056,555.5150517535078,0.4653751372022617,48.0
10016,2045-06-03,40,15000,583,Employed,High School,16,22047,96,Single,2,Rent,358,0.2547483803111665,4,0,0.033013290145408,0,Auto,0,21,16,9226,973,15261,23269,1250.0,0.9823829607251864,3,10572,0.265547,0.2256641006945699,497.8419278755344,0.6846735423004274,52.0
10017,2045-06-04,27,49874,565,Unemployed,Associate,7,12547,60,Single,0,Mortgage,397,0.2299574514755991,1,1,0.1767240385804698,0,Debt Consolidation,0,23,29,2713,1649,61357,13931,4156.166666666667,0.739583667488542,4,47426,0.235047,0.2080197873138955,338.0423656306253,0.1768558444794382,54.0
10018,2045-06-05,45,42111,615,Employed,Associate,21,13377,36,Married,2,Other,258,0.1133119043669962,0,0,0.2137319677155052,0,Home,0,21,13,680,829,72784,456724,3509.25,0.5639934386241641,10,8481,0.190877,0.2128074332502195,505.90965027438506,0.2176845908027028,49.0
10019,2045-06-06,31,30910,529,Employed,Associate,7,93690,84,Single,3,Rent,135,0.4144749892148293,4,0,0.1558178162795991,0,Home,0,21,2,2760,301,25852,4720,2575.833333333333,0.9203561970044284,6,21132,0.35419,0.3817312613409974,3211.749560003075,1.2992880854104465,56.0
10020,2045-06-07,61,76107,577,Employed,High School,40,54349,36,Single,1,Own,703,0.1272767669699971,2,1,0.2115021235042536,0,Education,0,28,5,532,2050,369775,7417,6342.25,0.9436107003552544,6,362358,0.250849,0.2749150960781344,2233.1656082524223,0.4629533065162083,47.0
10021,2045-06-08,58,108990,624,Employed,Bachelor,33,22728,120,Widowed,1,Own,468,0.4707022264679029,2,3,0.215494639801927,0,Home,0,22,26,1506,523,15040,4471,9082.5,0.8527003214435511,9,10569,0.265728,0.307346283946272,611.5194145118033,0.1188570783938126,49.0
10022,2045-06-09,47,58032,627,Employed,High School,23,46337,84,Divorced,5,Rent,295,0.0430679513783677,6,1,0.1157476268064588,0,Education,0,26,4,5936,364,10052,14321,4836.0,0.8769013928364899,5,8693,0.257837,0.255894103177231,1190.3838685357753,0.3071513375797715,49.0
10023,2045-06-10,56,47058,570,Employed,Associate,34,8905,84,Married,0,Own,582,0.1954440166925509,4,0,0.3614684144759786,0,Home,0,18,5,6948,1068,123240,5462,3921.5,0.607964960724909,11,117778,0.248905,0.2324717889324527,215.51787494399883,0.2033706170965188,52.0
10024,2045-06-11,40,35675,615,Employed,Master,18,10286,72,Divorced,2,Rent,266,0.0877954779478209,1,1,0.5033687543418387,0,Other,0,18,6,7036,1297,133671,26742,2972.9166666666665,0.8086761263917474,5,106929,0.2177859999999999,0.2321763333550441,265.9335185450892,0.1789264813606467,53.0
10025,2045-06-12,49,33931,616,Employed,Associate,24,11376,72,Married,0,Mortgage,399,0.1446971343801434,8,2,0.213433445986712,0,Education,0,15,25,4934,207,48007,31080,2827.583333333333,0.7548424002023717,8,16927,0.218376,0.2258556884942179,289.8022040052883,0.2436010270273042,49.0
10026,2045-06-13,57,61220,552,Employed,Associate,34,24202,36,Married,1,Rent,452,0.5054242549205419,2,2,0.2382256436441139,0,Home,0,30,14,3629,1256,105638,6500,5101.666666666667,0.7624924648341085,3,99138,0.233202,0.192797304780707,890.5756344650447,0.2631641230575063,40.8
10027,2045-06-14,42,87228,625,Employed,High School,17,23629,36,Single,4,Own,328,0.5858781745437638,5,1,0.0541981522459412,0,Home,0,30,21,3266,5851,493650,37168,7269.0,0.8443704624066671,4,456482,0.196129,0.2064610329879564,885.9364581243908,0.1670018514409672,32.800000000000004
10028,2045-06-15,36,23041,535,Employed,Bachelor,18,30115,12,Divorced,2,Mortgage,628,0.2597123070535871,3,1,0.6088831815048927,0,Debt Consolidation,1,14,6,1057,3260,80254,99449,1920.0833333333333,0.840095588923162,3,1249,0.227615,0.2184580122408572,2816.360330285332,1.7938598135247594,68.0
10029,2045-06-16,19,23477,570,Employed,Master,0,12897,24,Married,3,Own,301,0.1621879155489233,1,2,0.4784813632269892,0,Debt Consolidation,0,19,11,4810,1670,124738,11304,1956.4166666666667,0.7661028462206283,7,113434,0.202897,0.1812789812253741,644.6684281714909,0.4833675996957827,53.0
10030,2045-06-17,39,45937,596,Employed,High School,20,40119,72,Married,2,Own,443,0.3581861952424042,3,0,0.2282598066556279,0,Home,0,22,9,660,294,31269,27520,3828.0833333333335,0.6269441164302524,3,3749,0.257119,0.2647550319818497,1117.2980492199274,0.4075924982179752,54.0
10031,2045-06-18,49,15000,577,Employed,Associate,27,41808,48,Married,3,Rent,460,0.3687137775841421,3,0,0.3517698814066481,0,Auto,1,31,18,14133,2823,18471,3095,1250.0,0.9097033680767488,6,15376,0.248308,0.2443857163437809,1373.174013403612,1.4665392107228896,62.0
10032,2045-06-19,51,63886,594,Employed,Bachelor,27,11481,36,Married,0,Rent,275,0.3132545814121661,4,0,0.2891707138114657,0,Other,0,32,26,499,2133,48951,26075,5323.833333333333,0.7490429174226596,6,22876,0.199481,0.1918177425886607,421.9036683846388,0.130902608092785,41.6
10033,2045-06-20,46,88833,514,Employed,High School,20,19727,96,Married,1,Mortgage,485,0.0920368908498583,1,0,0.4932291675915705,0,Education,0,18,29,915,2580,122274,35072,7402.75,0.796932425891612,7,87202,0.297727,0.2795885645528371,516.1869323490586,0.1352452713314725,41.6
10034,2045-06-21,33,247516,658,Employed,Doctorate,12,23297,60,Single,1,Rent,584,0.4899421442135556,2,2,0.2990806259306934,0,Debt Consolidation,0,22,12,3026,3796,307881,35216,20626.33333333333,0.8286774076700913,3,272665,0.199297,0.190717688242974,605.2573908381124,0.0576572370677344,31.200000000000003
10035,2045-06-22,18,39864,566,Employed,Associate,0,21571,36,Married,2,Mortgage,1299,0.0785246710329074,4,1,0.1306692590258879,0,Auto,0,22,28,5583,3340,47547,41198,3322.0,0.8465903240723119,6,6349,0.223571,0.2180459585949268,821.6272849722789,0.6383586047478264,50.0
10036,2045-06-23,34,80261,580,Employed,High School,12,16114,60,Married,2,Mortgage,366,0.1652144744164563,4,0,0.1993658999338051,0,Auto,1,23,21,10786,464,11250,29998,6688.416666666667,0.8608667652873644,1,5895,0.2311139999999999,0.2332255410895361,457.2524649919917,0.1230863006927885,54.0
10037,2045-06-24,36,39752,582,Employed,Associate,15,21279,72,Married,0,Rent,466,0.1236512244302504,5,1,0.30468086745777,0,Other,0,22,15,6244,630,27364,30644,3312.6666666666665,0.5612822669160653,6,9067,0.245279,0.2186829099683167,532.9965555416427,0.3015686925563421,54.0
10038,2045-06-25,36,121934,531,Employed,Associate,12,35437,60,Married,0,Mortgage,534,0.4259896016034183,2,0,0.3762293539652829,0,Home,0,15,22,3953,516,52046,28068,10161.166666666666,0.8588342239974577,4,23978,0.274937,0.2483602336149995,1036.718918301148,0.1545805683370821,42.400000000000006
10039,2045-06-26,47,42015,565,Employed,Associate,25,14551,60,Married,2,Rent,426,0.3835520231179102,1,0,0.4001508574544071,0,Auto,0,20,7,1766,1126,34873,16332,3501.25,0.9216158839973508,3,18541,0.237051,0.2338567682365185,413.4302613721113,0.2397515919663295,58.0
10040,2045-06-27,63,83523,650,Employed,Bachelor,40,34632,48,Widowed,3,Rent,490,0.1564565218311563,4,2,0.2650480270922684,0,Auto,0,17,24,2226,1385,13603,23303,6960.25,0.5490762611651484,4,9201,0.204632,0.1857401149132004,1027.7321311062385,0.2180571288540265,44.0
10041,2045-06-28,41,67957,578,Employed,Associate,17,7656,60,Single,2,Own,1504,0.2284776093444879,2,2,0.2399032896293198,0,Education,0,18,12,23468,1705,25173,15951,5663.083333333333,0.9227495269231047,2,9222,0.223656,0.213588303396852,208.6688866427317,0.302426926434551,41.6
10042,2045-06-29,37,62442,625,Employed,Associate,15,24518,36,Divorced,0,Mortgage,361,0.2957792652368919,0,1,0.3349737398922602,0,Home,0,26,8,3701,837,63805,29956,5203.5,0.5542607505223892,5,33849,0.197018,0.2227266844040688,939.8155690247964,0.2499885786537515,52.0
10043,2045-06-30,36,28926,586,Employed,Associate,15,41043,84,Married,1,Rent,214,0.5136745044752412,2,2,0.0549280219994728,0,Home,0,24,18,2918,1939,60005,18686,2410.5,0.9416545103029358,6,41319,0.273043,0.295915327363685,1162.289327960238,0.5709559543498187,53.0
10044,2045-07-01,41,26537,597,Employed,Bachelor,19,30803,60,Married,3,Mortgage,480,0.1970365018928291,1,2,0.4820702361620534,0,Education,0,23,5,3673,871,71731,31105,2211.4166666666665,0.6601492994118748,6,40626,0.237303,0.203939596679343,822.8579434301791,0.5891508204078136,59.0
10045,2045-07-02,30,82949,533,Employed,Associate,9,18410,72,Married,4,Own,889,0.1398586413259846,3,1,0.4174189720144124,0,Home,0,23,12,6245,1107,43473,2802,6912.416666666667,0.8028207321634219,5,40671,0.26691,0.2438940931286479,489.0381590389707,0.1993569290584292,54.0
10046,2045-07-03,41,55602,603,Unemployed,High School,18,19820,60,Single,0,Other,800,0.5489326648520403,1,1,0.2698841798129848,0,Education,0,13,16,1535,507,126284,33421,4633.5,0.8984325738468837,3,92863,0.22332,0.2290829833035951,557.6913918322361,0.2930163789429666,51.0
10047,2045-07-04,45,44725,483,Employed,Associate,21,5531,36,Married,2,Mortgage,590,0.2621826111558826,2,2,0.1450198296247773,0,Auto,0,24,18,11811,1826,140103,72412,3727.0833333333335,0.7993647699963533,8,67691,0.249031,0.2773886033033482,228.0023886916143,0.2194752076981413,49.0
10048,2045-07-05,42,74797,531,Employed,High School,22,22314,120,Divorced,1,Mortgage,1000,0.1477191942090555,7,2,0.2116510997423974,0,Debt Consolidation,0,24,18,2244,126,21342,119236,6233.083333333333,0.7739634661266802,2,1343,0.311814,0.3368746393206479,649.8579689159782,0.2646937126755316,51.0
10049,2045-07-06,45,104100,535,Employed,Master,26,22610,24,Married,4,Mortgage,242,0.1443207966867365,0,0,0.0975224854557053,0,Home,0,24,12,2008,3442,62304,19757,8675.0,0.6992996671599767,4,42547,0.2301099999999999,0.2262484921205002,1179.9534911311505,0.1639139471044553,38.400000000000006
10050,2045-07-07,45,63627,561,Self-Employed,Associate,22,14385,48,Single,1,Rent,284,0.1464949553461317,4,1,0.1276381802242243,0,Debt Consolidation,0,35,20,2054,355,12637,10229,5302.25,0.7839845424581087,6,2408,0.228885,0.183108,424.8991720053123,0.133697802254762,41.6
10051,2045-07-08,18,50153,546,Employed,High School,0,29625,60,Married,2,Mortgage,268,0.3232603722250667,3,2,0.0859102062591812,0,Auto,1,15,12,13945,613,20916,2807,4179.416666666667,0.6990929802885101,4,18109,0.261625,0.2677102258308955,900.5590626051807,0.279598603299148,56.0
10052,2045-07-09,47,37444,656,Employed,Doctorate,24,15792,36,Single,0,Mortgage,582,0.4921404433654762,5,1,0.5575779958688518,0,Home,0,22,16,15253,867,121344,22699,3120.333333333333,0.7743896406194408,3,98645,0.172792,0.1456132924345175,544.0485373805597,0.360874437788877,41.6
10053,2045-07-10,31,44518,427,Employed,High School,8,79839,60,Married,1,Mortgage,429,0.2609104244445354,2,0,0.1499440719822615,0,Debt Consolidation,0,19,3,4144,530,167230,17526,3709.8333333333335,0.9816018489856068,3,149704,0.371339,0.3576266945380151,2872.606536762932,0.8899608796701376,50.0
10054,2045-07-11,26,16615,583,Employed,Bachelor,8,15690,48,Married,2,Mortgage,341,0.1600787437083994,4,0,0.32739200806629,0,Debt Consolidation,0,21,8,2702,819,82749,15796,1384.5833333333333,0.8384147381044939,4,66953,0.21919,0.2250784155768068,498.6662913373728,0.6064396928106214,54.0
10055,2045-07-12,26,57518,432,Employed,Bachelor,2,20459,72,Married,2,Rent,545,0.2063716476283811,2,2,0.2147430836331148,0,Home,0,25,29,23760,629,73483,3907,4793.166666666667,0.3463655728601557,2,69576,0.319459,0.3228428670875785,645.9304123720093,0.2484642190003844,50.0
10056,2045-07-13,45,54448,475,Employed,Associate,25,9605,72,Married,3,Rent,318,0.3672700573853314,8,2,0.2658356711884007,0,Home,0,22,9,2956,185,33555,30177,4537.333333333333,0.7748261035010686,5,3378,0.287105,0.2895193268620924,282.5000803915789,0.1323464767245619,53.0
10057,2045-07-14,37,29344,458,Employed,Associate,15,14285,48,Single,0,Rent,226,0.143625007928739,2,2,0.0870356358268529,0,Auto,0,31,9,1200,932,56087,7521,2445.333333333333,0.6069231621693558,7,48566,0.280285,0.3205823641215905,531.5861320065386,0.3098089416602529,52.0
10058,2045-07-15,19,49910,609,Employed,Master,0,19908,72,Married,1,Mortgage,243,0.2966092413907109,3,1,0.1101688500201285,0,Debt Consolidation,0,24,25,2082,2467,278114,21717,4159.166666666667,0.9383866489754652,3,256397,0.230408,0.2247322794959379,505.81826003518825,0.1800404552278553,33.6
10059,2045-07-16,45,59599,596,Employed,Associate,24,15075,96,Married,1,Mortgage,168,0.635277334142884,1,2,0.1846221823862418,0,Home,0,26,3,184,2205,43943,24427,4966.583333333333,0.7462164608295566,3,19516,0.252075,0.250490605535805,364.8936129543387,0.107295816296449,55.0
10060,2045-07-17,22,23216,602,Employed,Associate,0,12696,36,Married,2,Mortgage,701,0.2118981339813193,2,1,0.1786214235680767,0,Other,0,25,1,3471,262,198830,26900,1934.6666666666667,0.92245133742259,10,171930,0.196696,0.1911923278121437,466.1505477900751,0.6032825023036225,49.0
10061,2045-07-18,41,83708,540,Self-Employed,Associate,18,42251,72,Married,3,Other,185,0.2026628777237988,2,0,0.0608915423570163,0,Home,0,28,25,1798,4715,34757,14052,6975.666666666667,0.7856707742917984,6,20705,0.287251,0.3221974030164888,1332.1526915941593,0.217492142915013,52.0
10062,2045-07-19,42,57225,587,Employed,High School,18,17583,72,Divorced,3,Mortgage,582,0.3650351579414632,1,1,0.5152962139429829,0,Home,0,20,9,5868,2111,7979,24754,4768.75,0.8056549338131134,3,7227,0.239083,0.2331919619916273,455.66499446651807,0.2175968533612619,59.0
10063,2045-07-20,50,15531,626,Employed,Associate,27,24169,36,Married,4,Mortgage,391,0.0222954831712774,1,0,0.0924959699624508,0,Auto,0,17,4,865,1122,76534,109846,1294.25,0.8678810807515194,7,1380,0.196169,0.2055509152795896,905.0570466876324,1.0013962114642707,51.0
10064,2045-07-21,61,62358,647,Employed,High School,37,17623,24,Single,2,Rent,1008,0.6227077692201592,3,2,0.2706525198397682,0,Debt Consolidation,0,21,15,4441,622,136510,22480,5196.5,0.7844424382605435,10,114030,0.169123,0.1870523439544547,885.8292750815253,0.3644432358474984,47.0
10065,2045-07-22,23,90803,447,Employed,High School,0,58012,60,Single,5,Own,223,0.2202453247920454,3,1,0.29390103587603,0,Auto,1,21,27,3618,1406,10893,32011,7566.916666666667,0.8615431343814611,6,5893,0.339512,0.3117550180975275,1918.9869751613733,0.2830726264763992,57.0
10066,2045-07-23,39,45834,586,Employed,Bachelor,16,11772,48,Married,5,Rent,90,0.1472083191077114,5,2,0.2290546805140179,0,Home,0,18,24,1838,1176,83296,3047,3819.5,0.6549438706737225,4,80249,0.213772,0.2253946331429883,374.3458075212175,0.1215724067341844,40.0
10067,2045-07-24,36,27937,587,Employed,Associate,11,62249,24,Married,1,Rent,372,0.0510119964401704,4,0,0.3700698041932234,0,Debt Consolidation,0,19,16,24075,711,65115,31934,2328.083333333333,0.9027657521179254,3,33181,0.243749,0.247166405235141,3313.480278261396,1.5830534180168505,55.0
10068,2045-07-25,45,35610,587,Employed,High School,22,46240,60,Married,1,Mortgage,212,0.3357156423407147,1,2,0.1228499212384549,0,Education,0,23,29,4850,6352,232682,35469,2967.5,0.8265597963040507,3,197213,0.25774,0.2267371996827995,1294.8738356560152,0.5077923624788594,47.0
10069,2045-07-26,42,32844,549,Employed,High School,15,13346,24,Married,1,Mortgage,170,0.1356087766554545,3,1,0.074814027146862,0,Education,0,14,12,2844,1468,40307,23016,2737.0,0.8931765110507552,5,17291,0.2138459999999999,0.2035415000272535,681.5665840219459,0.3111313788900058,50.0
10070,2045-07-27,35,19572,603,Employed,High School,11,22150,48,Single,2,Mortgage,285,0.3260422713270521,1,1,0.4172485578591705,0,Education,0,30,29,3099,569,58970,31454,1631.0,0.9661167101340598,7,27516,0.21565,0.2335693716315494,714.2787720374697,0.6126785849402021,55.0
10071,2045-07-28,34,105312,562,Employed,Associate,14,9781,72,Single,0,Own,639,0.2096919159486054,0,1,0.3428210557188768,0,Debt Consolidation,0,28,7,1424,2366,118058,15273,8776.0,0.7675111292425475,4,102785,0.243781,0.1950248,231.47042947832907,0.0991876059113866,40.0
10072,2045-07-29,26,71910,546,Unemployed,Associate,4,11775,60,Married,1,Other,2093,0.3071426684602918,2,0,0.4585452396865633,0,Home,1,23,15,6461,1770,106731,11000,5992.5,0.8377745675634818,3,95731,0.243775,0.2285225995921921,330.9440700695868,0.404496298718329,63.0
10073,2045-07-30,51,93556,528,Employed,High School,28,25062,108,Single,0,Rent,1096,0.6223104297725411,1,1,0.1695946498846359,0,Auto,0,21,28,2134,1812,26267,80168,7796.333333333333,0.839935923645145,9,7446,0.306062,0.3034374358025136,679.5357463914606,0.227739845191089,51.0
10074,2045-07-31,45,22960,616,Unemployed,Bachelor,22,27251,60,Married,3,Own,603,0.0506586197733076,1,0,0.0872284910739566,0,Home,1,28,8,1764,1554,103006,23252,1913.3333333333333,0.8063553091321767,3,79754,0.224251,0.2358981669218084,777.4812147806937,0.7215058613836379,56.0
10075,2045-08-01,51,51876,627,Employed,High School,27,15559,36,Single,2,Rent,163,0.1943600922212643,1,0,0.0947863095821963,0,Home,0,23,24,902,2481,100795,6573,4323.0,0.7470711041004314,3,94222,0.187059,0.1691572447710206,554.0684225210059,0.1658728712748105,35.2
10076,2045-08-02,36,86373,566,Employed,High School,12,25981,36,Married,0,Mortgage,489,0.3221733538750016,5,1,0.4983095408353284,1,Home,0,20,28,4403,2179,100500,6897,7197.75,0.847994847473708,5,93603,0.227981,0.2224166431841755,995.4772606367374,0.206241847888123,65.0
10077,2045-08-03,32,33093,536,Unemployed,Doctorate,12,18992,60,Married,1,Mortgage,356,0.5415576469986453,3,2,0.080239645899046,0,Debt Consolidation,1,20,14,1474,1760,101659,17556,2757.75,0.7190632238244481,4,84103,0.255992,0.221128698188195,525.7578981408514,0.3197381554313666,59.0
10078,2045-08-04,27,37060,589,Employed,Associate,2,29202,60,Divorced,1,Mortgage,407,0.596653162937393,1,0,0.3273086750511854,0,Debt Consolidation,1,31,20,1552,1224,35930,72839,3088.333333333333,0.8800196436697912,2,4792,0.239702,0.2677726783266675,887.809217406113,0.4192582463268579,62.0
10079,2045-08-05,44,20315,602,Employed,High School,22,33150,36,Married,2,Mortgage,741,0.2070963122540071,1,0,0.3781423994517546,0,Debt Consolidation,0,21,19,1033,845,104914,21471,1692.9166666666667,0.8881064140079163,5,83443,0.2171499999999999,0.2175761117813493,1261.860457743994,1.1830827217783868,51.0
10080,2045-08-06,27,83046,517,Employed,Master,6,22327,60,Married,4,Rent,326,0.2199835384523921,5,1,0.5158212045425876,0,Debt Consolidation,0,21,3,1267,385,56712,15908,6920.5,0.9024172933200744,8,40804,0.268827,0.2287241050591061,627.773043724212,0.137818516541321,48.0
10081,2045-08-07,62,46772,566,Employed,High School,41,32098,60,Married,0,Other,291,0.1493292614784445,1,3,0.1076059959359424,0,Home,0,30,24,6856,6889,27935,23460,3897.6666666666665,0.6136599615441495,1,4475,0.254098,0.2645298740207348,969.6558460252044,0.3234385989973158,50.0
10082,2045-08-08,24,36768,598,Employed,Master,0,33219,12,Single,0,Mortgage,528,0.2432279076364943,5,1,0.3644706147050935,0,Home,0,21,1,4136,814,118639,1577,3064.0,0.8686344158467855,2,117062,0.199219,0.2258471359312984,3118.467357556861,1.1901003125185576,55.0
10083,2045-08-09,43,23314,550,Employed,High School,21,28477,60,Married,3,Rent,678,0.1191933558861941,2,2,0.1567501797246075,0,Other,0,19,9,3239,478,46946,17595,1942.8333333333333,0.8245304159930962,5,29351,0.258477,0.2767111302998135,881.0131452293895,0.8024430703762835,52.0
10084,2045-08-10,58,149456,639,Self-Employed,Master,37,17227,36,Single,0,Mortgage,485,0.5899311711387947,3,1,0.3165517899305457,0,Education,0,24,17,470,1387,51719,2806,12454.666666666666,0.5765075821570766,5,48913,0.182727,0.1919508737118316,633.1737427821605,0.0897794997416358,42.400000000000006
10085,2045-08-11,47,42585,547,Employed,High School,25,13984,24,Single,0,Mortgage,219,0.2830302283795964,3,0,0.4238619325417984,0,Home,0,22,1,4223,1901,141638,13508,3548.75,0.981003402833022,2,128130,0.2154839999999999,0.2478986870316879,744.873810079625,0.2716093864261007,57.0
10086,2045-08-12,42,94771,632,Employed,Master,23,16012,84,Single,0,Other,172,0.6641962116919531,2,0,0.1641191249365337,0,Debt Consolidation,0,26,1,1573,3476,98233,11703,7897.583333333333,0.6362569396135375,2,86530,0.225012,0.2255496568208899,380.6019759257919,0.0699710218432801,40.0
10087,2045-08-13,28,90504,445,Employed,Bachelor,7,39448,120,Single,2,Mortgage,757,0.1977491729957685,3,1,0.2499315468785349,1,Other,0,23,5,842,707,42185,17118,3865.5833333333335,0.8486380716579139,3,25067,0.371948,0.340723311430829,1160.3872103292774,0.496014972383455,64.0
10088,2045-08-14,23,24816,607,Employed,High School,3,24594,36,Married,1,Mortgage,462,0.3950888316617467,0,1,0.4858562943311256,0,Home,0,30,18,1462,1139,42132,21465,2068.0,0.7953355461761565,5,20667,0.206094,0.1865257880640027,897.2039449128475,0.6572552925110481,55.0
10089,2045-08-15,49,24438,596,Employed,Master,27,14188,24,Widowed,4,Mortgage,175,0.153116691640389,4,1,0.3691202667219278,0,Other,1,25,5,3814,546,28130,10344,2036.5,0.6463262038488854,10,17786,0.191188,0.2122438453228011,730.6242601392115,0.444696420397354,63.0
10090,2045-08-16,58,42046,487,Employed,Associate,34,36842,72,Married,2,Mortgage,315,0.1865494218165624,2,0,0.2529999636351049,0,Other,0,20,16,8530,3330,91467,38243,3503.833333333333,0.6329250651834155,3,53224,0.308342,0.2793220377842232,1059.7204471638086,0.3923475566276388,50.0
10091,2045-08-17,34,91352,605,Employed,Bachelor,10,39051,12,Single,1,Mortgage,522,0.3426153388069906,3,0,0.5072526121859414,0,Other,0,22,25,11477,1216,94697,16779,7612.666666666667,0.7329371870258606,2,77918,0.201551,0.1666527128622843,3555.4364102050386,0.5356121039764916,41.6
